URL,Method,StatusCode,ResponseTime,IsEmpty,Timestamp
"https://connect.facebook.net/signals/config/268261577572879?v=2.9.210&r=stable&domain=www.healthmug.com&hme=3441e08561898daa17527063c9241425bb59bed6563ec6648fc630e7b08b31f3&ex_m=82%2C139%2C122%2C16%2C115%2C57%2C38%2C116%2C63%2C56%2C127%2C71%2C11%2C81%2C24%2C110%2C101%2C61%2C64%2C109%2C126%2C6%2C2%2C3%2C5%2C89%2C4%2C72%2C80%2C129%2C130%2C202%2C151%2C51%2C207%2C204%2C205%2C43%2C164%2C23%2C60%2C211%2C210%2C153%2C26%2C50%2C7%2C53%2C76%2C77%2C78%2C83%2C105%2C25%2C22%2C108%2C104%2C103%2C123%2C62%2C125%2C48%2C124%2C39%2C106%2C49%2C98%2C10%2C35%2C192%2C194%2C161%2C19%2C20%2C21%2C13%2C14%2C34%2C31%2C32%2C67%2C73%2C75%2C87%2C114%2C117%2C36%2C88%2C17%2C15%2C92%2C58%2C29%2C119%2C118%2C120%2C111%2C18%2C28%2C47%2C86%2C27%2C174%2C147%2C85%2C1%2C107%2C66%2C96%2C42%2C37%2C94%2C95%2C100%2C46%2C12%2C102%2C93%2C54%2C41%2C44%2C0%2C79%2C128%2C99%2C9%2C97%2C251%2C190%2C137%2C177%2C170%2C8%2C45%2C74%2C52%2C121%2C55%2C91%2C70%2C69%2C40%2C112%2C68%2C65%2C59%2C90%2C84%2C33%2C113%2C30%2C131","GET",200,96,false,"2025-06-25T09:38:30.348Z"
"https://www.facebook.com/tr/?id=268261577572879&ev=PageView&dl=https%3A%2F%2Fwww.healthmug.com&rl=&if=false&ts=1750844310339&sw=1280&sh=720&v=2.9.210&r=stable&ec=0&o=4252&fbp=fb.1.1750844310337.925446066500452864&pm=1&hrl=a9429d&ler=empty&it=1750844310183&coo=false&cs_cc=1&cas=7697990740250994%2C25591451637136257%2C7442633229190973%2C6528295707268136%2C6954938287882703%2C4399982003447606%2C3704665699633432%2C3936199593074047&exp=k0&rqm=GET","GET",200,221,true,"2025-06-25T09:38:30.581Z"
"https://static.oxinis.com/healthmug/image/asset/4187-xm.webp","GET",200,159,false,"2025-06-25T09:38:30.800Z"
"https://static.oxinis.com/healthmug/image/asset/6103-mv.webp","GET",200,657,false,"2025-06-25T09:38:30.884Z"
"https://static.oxinis.com/healthmug/image/asset/3748-dq.webp","GET",200,705,false,"2025-06-25T09:38:30.948Z"
"https://static.oxinis.com/healthmug/image/asset/3968-sz.webp","GET",200,800,false,"2025-06-25T09:38:31.155Z"
"https://static.oxinis.com/healthmug/image/asset/3969-xf.webp","GET",200,738,false,"2025-06-25T09:38:31.177Z"
"https://static.oxinis.com/healthmug/image/asset/3985-kh.webp","GET",200,739,false,"2025-06-25T09:38:31.180Z"
"https://static.oxinis.com/healthmug/image/asset/3981-de.webp","GET",200,763,false,"2025-06-25T09:38:31.188Z"
"https://static.oxinis.com/healthmug/image/asset/5563-hs.gif","GET",200,799,false,"2025-06-25T09:38:31.191Z"
"https://static.oxinis.com/healthmug/image/asset/3967-kq.webp","GET",200,800,false,"2025-06-25T09:38:31.192Z"
"https://static.oxinis.com/healthmug/image/asset/3977-ip.webp","GET",200,757,false,"2025-06-25T09:38:31.243Z"
"https://static.oxinis.com/healthmug/image/asset/3970-br.webp","GET",200,757,false,"2025-06-25T09:38:31.244Z"
"https://static.oxinis.com/healthmug/image/asset/3974-du.webp","GET",200,757,false,"2025-06-25T09:38:31.244Z"
"https://static.oxinis.com/healthmug/image/asset/3973-ve.webp","GET",200,758,false,"2025-06-25T09:38:31.245Z"
"https://static.oxinis.com/healthmug/image/asset/4298-ch.webp","GET",200,758,false,"2025-06-25T09:38:31.245Z"
"https://static.oxinis.com/healthmug/image/asset/3980-bb.webp","GET",200,760,false,"2025-06-25T09:38:31.250Z"
"https://static.oxinis.com/healthmug/image/asset/3979-gf.webp","GET",200,760,false,"2025-06-25T09:38:31.250Z"
"https://static.oxinis.com/healthmug/image/asset/3975-jt.webp","GET",200,760,false,"2025-06-25T09:38:31.251Z"
"https://static.oxinis.com/healthmug/image/asset/3983-mo.webp","GET",200,736,false,"2025-06-25T09:38:31.252Z"
"https://static.oxinis.com/healthmug/image/asset/3972-se.webp","GET",200,737,false,"2025-06-25T09:38:31.253Z"
"https://static.oxinis.com/healthmug/image/asset/3976-vx.webp","GET",200,737,false,"2025-06-25T09:38:31.253Z"
"https://static.oxinis.com/healthmug/image/asset/7217-nx.webp","GET",200,709,false,"2025-06-25T09:38:31.254Z"
"https://static.oxinis.com/healthmug/image/asset/7214-dd.webp","GET",200,710,false,"2025-06-25T09:38:31.255Z"
"https://static.oxinis.com/healthmug/image/asset/7213-tn.webp","GET",200,710,false,"2025-06-25T09:38:31.255Z"
"https://static.oxinis.com/healthmug/image/asset/7211-qy.webp","GET",200,710,false,"2025-06-25T09:38:31.255Z"
"https://static.oxinis.com/healthmug/image/asset/7206-dl.webp","GET",200,714,false,"2025-06-25T09:38:31.264Z"
"https://static.oxinis.com/healthmug/image/asset/7216-dv.webp","GET",200,715,false,"2025-06-25T09:38:31.265Z"
"https://static.oxinis.com/healthmug/image/asset/7207-lb.webp","GET",200,709,false,"2025-06-25T09:38:31.266Z"
"https://static.oxinis.com/healthmug/image/asset/7220-rp.webp","GET",200,709,false,"2025-06-25T09:38:31.266Z"
"https://static.oxinis.com/healthmug/image/asset/7219-rq.webp","GET",200,709,false,"2025-06-25T09:38:31.267Z"
"https://static.oxinis.com/healthmug/image/asset/3971-ca.webp","GET",200,736,false,"2025-06-25T09:38:31.267Z"
"https://static.oxinis.com/healthmug/image/asset/7218-jm.webp","GET",200,709,false,"2025-06-25T09:38:31.268Z"
"https://static.oxinis.com/healthmug/image/asset/2725-gp.webp","GET",200,688,false,"2025-06-25T09:38:31.268Z"
"https://static.oxinis.com/healthmug/image/asset/7209-kr.webp","GET",200,710,false,"2025-06-25T09:38:31.274Z"
"https://static.oxinis.com/healthmug/image/asset/2729-al.webp","GET",200,684,false,"2025-06-25T09:38:31.275Z"
"https://static.oxinis.com/healthmug/image/asset/2733-qm.webp","GET",200,692,false,"2025-06-25T09:38:31.277Z"
"https://static.oxinis.com/healthmug/image/asset/6792-mp.webp","GET",200,693,false,"2025-06-25T09:38:31.280Z"
